Metric,Season,Player,FG%,3P%,FT%,PTS_per_MIN,Overall_Shooting%,BLK_per_GP,STL_per_GP
3P%,2007 - 2008,Brian Skinner,0.46464646,0.6666667,0.52380955,0.25947866,0.4810606,1.1666666,0.3181818
3P%,2011 - 2012,Shaun Livingston,0.4686347,0.6666667,0.7848101,0.2913155,0.5410765,0.3448276,0.46551725
3P%,1999 - 2000,Jamie Feick,0.427896,1.0,0.7067669,0.20491071,0.49731663,0.4691358,0.5308642
3P%,1999 - 2000,Joe Smith,0.46388444,1.0,0.75581396,0.39189872,0.54988664,1.0897436,0.5769231
3P%,2000 - 2001,Mark Madsen,0.48672566,1.0,0.7027027,0.21372855,0.54304636,0.114285715,0.114285715
3P%,2001 - 2002,Anthony Mason,0.50479233,1.0,0.6968326,0.2503977,0.5554245,0.2682927,0.69512194
3P%,2001 - 2002,Tony Massenburg,0.4555874,1.0,0.71794873,0.32473812,0.52248394,0.42465752,0.41095892
3P%,2002 - 2003,Marc Jackson,0.4383954,1.0,0.76510066,0.4048077,0.53707415,0.38961038,0.3116883
3P%,2003 - 2004,Eddy Curry,0.49642858,1.0,0.67142856,0.49675024,0.54827875,1.1369863,0.32876712
3P%,2005 - 2006,Malik Rose,0.37366548,1.0,0.7810219,0.28464016,0.50835323,0.19444445,0.5972222
3P%,2006 - 2007,Eddy Curry,0.5757874,1.0,0.6145675,0.55325425,0.5912888,0.49382716,0.41975307
3P%,2006 - 2007,Elton Brand,0.5326177,1.0,0.7613883,0.53354996,0.59593546,2.2375,0.9625
3P%,2007 - 2008,Reggie Evans,0.43930635,1.0,0.46692607,0.22618414,0.45198676,0.09876543,1.0617284
3P%,2008 - 2009,Marcin Gortat,0.56684494,1.0,0.5777778,0.30096966,0.57081544,0.84126985,0.2857143
3P%,2008 - 2009,Yao Ming,0.54844964,1.0,0.8659091,0.58478177,0.64358455,1.9480519,0.38961038
3P%,2009 - 2010,Al Horford,0.55135775,1.0,0.7888889,0.40351495,0.6091234,1.1234568,0.72839504
3P%,2011 - 2012,D.J. White,0.49291784,1.0,0.704918,0.35704526,0.5253012,0.39655173,0.29310346
3P%,2011 - 2012,Johan Petro,0.41923076,1.0,0.8378378,0.27173913,0.47315437,0.3898305,0.3559322
3P%,2012 - 2013,Enes Kanter,0.54353565,1.0,0.7948718,0.46951842,0.6036217,0.45714286,0.4
3P%,2012 - 2013,JaVale McGee,0.57495254,1.0,0.5913978,0.5002093,0.57983196,1.9873418,0.37974682
3P%,2013 - 2014,Marcin Gortat,0.5416667,1.0,0.6855895,0.4022599,0.5728972,1.4938271,0.50617284
3P%,2015 - 2016,Andrew Bogut,0.6272401,1.0,0.48,0.25838903,0.6060606,1.6285714,0.45714286
3P%,2017 - 2018,Hassan Whiteside,0.53979236,1.0,0.7032967,0.5527049,0.5800525,1.7407408,0.7037037
3P%,2019 - 2020,Tony Bradley,0.6666667,1.0,0.65217394,0.42973462,0.6680672,0.5689655,0.2413793
FT%,2016 - 2017,Danilo Gallinari,0.44666666,0.3888889,0.9018088,0.53655106,0.5544148,0.23809524,0.63492066
FT%,2005 - 2006,Ray Allen,0.454,0.41194487,0.90250695,0.64681554,0.5071656,0.20512821,1.3461539
FT%,2019 - 2020,Bojan Bogdanovic,0.44705883,0.41356674,0.9025271,0.6121567,0.51348114,0.11111111,0.53968257
FT%,2013 - 2014,Trey Burke,0.38015607,0.33035713,0.9026549,0.3955976,0.4115899,0.08571429,0.6
FT%,2017 - 2018,Jamal Crawford,0.41509435,0.3312102,0.9026549,0.4972175,0.43969205,0.1125,0.5
FT%,2006 - 2007,Ray Allen,0.43798786,0.37246048,0.9029126,0.65525013,0.49816272,0.2,1.4909091
FT%,2016 - 2017,C.J. Miles,0.43431222,0.41320294,0.9032258,0.45881888,0.46475196,0.32894737,0.6052632
FT%,2018 - 2019,Marco Belinelli,0.41304347,0.3721519,0.9032258,0.45664868,0.44995865,0.101265825,0.443038
FT%,2017 - 2018,J.J. Redick,0.4596132,0.41956523,0.9036697,0.5662161,0.50995505,0.08571429,0.5
FT%,2006 - 2007,Dirk Nowitzki,0.50186425,0.41618496,0.9038113,0.6792399,0.60193706,0.7948718,0.6666667
